<<<<<<< HEAD
abandon   v.Å×Æú£¬·ÅÆú
accumulation   n.»ýÀÛ
accumulative   adj.»ýÀÛµÄ
accuracy   n.×¼È·(ÐÔ)
accurate   adj.×¼È·µÄ£¬¾«ÃÜµÄ
accurately   adj.×¼È·µØ
accusation   n.¿Ø¸æ
accuse   v.¸æ·¢£¬Ö¸Ôð
accustom   v.Ê¹...Ï°¹ßÓÚ
ache   v.¾õµÃÌÛ n.ÌÛÍ´
aching   adj.ÌÛÍ´µÄ
achieve   v.Íê³É£¬ÊµÏÖ
achievement   n.Íê³É£¬³É¾Í
acid   n.Ëá
acknowledge   v.³ÐÈÏ£¬ÃùÐ»
acknowledgment   n.³ÐÈÏ£¬ÃùÐ»£¬»ØÖ´
acquaint   n.Ê¹ÊìÏ¤£¬ÏàÊ¶
acquaintance   n.ÊìÏ¤ÈË£¬ÏàÊ¶
acquaintant   adj.ÊìÏ¤µÄ
acquire   v.ÇóµÃ£¬»ñµÃ
acquisition   n.»ñµÃ
acre   n.Ó¢Ä¶
acrobat   n.ÔÓ¼¼ÑÝÔ±
acrobatics   n.ÔÓ¼¼
across   prep.ºáÔ½ adv.ºá´©
act   n.ÐÐÎª£¬·¨Áî v.±íÑÝ
action   n.ÐÐÎª£¬ÐÐ¶¯
activate   v.Ê¹»îÔ¾£¬¿ª¶¯
active   adj.»îÔ¾µÄ£¬»ý¼«µÄ
actively   adv.»ý¼«µØ£¬»îÔ¾µØ
activity   n.»î¶¯
actor   n.ÄÐÑÝÔ±
actress   n.Å®ÑÝÔ±
actual   adj.ÏÖÊµµÄ£¬Êµ¼ÊµÄ
actuality   n.Êµ¼Ê
actually   adv.Êµ¼ÊÉÏ£¬¾ÓÈ»
acute   adj.¾çÁÒµÄ£¬ÃôÈñµÄ
a.d.   (Ëõ)¹«Ôª
ad   n.(Ëõ)¹ã¸æ
adapt   v.Ê¹ÊÊÓ¦£¬¸Ä±à
adaptation   n.ÊÊÓ¦
add   v.ÔöÌí£¬¼Ó£¬²¹³ä
addition   n.Ôö¼Ó£¬¸½¼ÓÎï
additional   adj.Ôö¼ÓµÄ£¬¸½¼ÓµÄ
additive   adj.¸½¼ÓµÄ n.Ìí¼Ó¼Á
address   n.µØÖ· v.ÖÂ´Ê
adequate   adj.×ã¹»µÄ£¬Ç¡µ±µÄ
adequately   adv.Ç¡µ±µØ
adhere   v.Õ³¸½£¬¼á³Ö
adhesive   n.Õ³ºÏ¼Á
adjacent   adj.ÁÚ½üµÄ
adjective   n.ÐÎÈÝ´Ê
adjoin   v.ÅþÁ¬
adjust   v.µ÷Õû£¬ÐÞÕû
adjustable   adj.¿Éµ÷ÕûµÄ
adjustment   n.µ÷Õû
administer   v.¹ÜÀí
administration   n.ÐÐÕþ¹ÜÀí£¬¹ÜÀí»ú¹Ø
administrative   adj.ÐÐÕþ¹ÜÀíµÄ
admirable   adj.¿ÉÇÕÅåµÄ
admiration   n.ÏÛÄ½£¬ÇÕÅå
admire   v.ÇÕÅå£¬ÔÞÃÀ
admission   n.×¼Èë£¬³ÐÈÏ
admit   v.³ÐÈÏ£¬½ÓÄÉ
admittedly   adv.Ã÷°×µØ
adolescence   n.Çà´ºÆÚ
adolescent   adj.Çà´ºÆÚµÄ
adopt   v.²ÉÓÃ£¬²ÉÄÉ
adoption   n.²ÉÓÃ
adore   v.³ç°Ý£¬¾´Ä½
adorn   v.×°ÊÎ£¬Åå´ø
adornment   n.×°ÊÎ(Æ·)
adult   n.³ÉÄêÈË adj.³ÉÄêµÄ
advance   n.,v.Ç°½ø
advanced   adj.ÏÈ½øµÄ£¬·¢´ïµÄ
advantage   n.ÓÅµã£¬ÓÅÊÆ
advantageous   adj.ÓÐÀûµÄ£¬ÓÐÓÃµÄ
adventure   n.Ã°ÏÕ£¬¾ªÏÕ»î¶¯
adventurous   adj.Ã°ÏÕµÄ
adverb   n.¸±´Ê
adverbial   adj.¸±´ÊµÄ
adversary   adj.µÐÊÖ£¬¶ÔÊÖ
adverse   v.ÄæµÄ£¬Ïà·´µÄ
adversity   n.Äæ¾³£¬²»ÐÒ
advertise   v.µÇ¹ã¸æ£¬ÍÆÏú
advertising   adj.¹ã¸æµÄ
advertisement   n.¹ã¸æ
advice   n.ÖÒ¸æ£¬Òâ¼û
advisable   adj.ÊÊµ±µÄ£¬¿ÉÐÐµÄ
advise   v.È°¸æ£¬Í¨Öª
adviser   n.¹ËÎÊ
advocate   v.Óµ»¤£¬Ìá³«
aerial   adj.Ìì¿ÕµÄ£¬º½¿ÕµÄ
aeroplane   n.·É»ú
affair   n.ÊÂ¼þ£¬ÊÂÇé
affect   v.Ó°Ïì£¬¸Ä±ä
affection   n.ÓÑ°®£¬°®Ä½
affectionate   adj.³äÂú¸ÐÇéµÄ
affiliate   n.·ÖºÅ(¹«Ë¾)
affirm   v.¶ÏÑÔ£¬¿Ï¶¨
affirmation   n.È·¶¨£¬È·ÈÏ
affirmative   adj.¿Ï¶¨µÄ
afford   v.ÂòµÃÆð£¬¾­ÊÜµÃÆð
affordable   adj.ÂòµÃÆðµÄ
afloat   adj.º½ÐÐÖÐµÄ
aforesaid   adj.ÉÏÊöµÄ
afraid   adj.º¦ÅÂµÄ£¬¿ÖÅÂ
africa   n.·ÇÖÞ
african   adj.·ÇÖÞµÄ n.·ÇÖÞÈË
after   prep.ÔÚ...ºó
afternoon   n.ÏÂÎç
afterward   adv.ºóÀ´
again   adv.ÔÙ£¬ÓÖ
against   prep.·´¶Ô£¬¶Ô×Å
age   n.ÄêÁä£¬Ê±´ú
agency   n.´úÀí£¬´úÀí´¦
agent   n.´úÀíÈË£¬ÊÔ¼Á
aggravate   v.¼ÓÖØ£¬¶ñ»¯
aggravation   n.¼ÓÖØ£¬¶ñ»¯
aggregate   v.,n.,adj.ºÏ¼Æ(µÄ)
aggregation   n.×Ü¼Æ£¬¼¯ºÏ
aggression   n.ÇÖÂÔ
aggressive   adj.ÇÖÂÔµÄ£¬½øÈ¡µÄ
aggressor   n.ÇÖÂÔÕß
agitate   v.¹Ä¶¯
agitation   n.¹Ä¶¯£¬²»°²
ago   adv....ÒÔÇ°
agonize   v.Ê¹Í´¿à
agony   n.¿àÄÕ£¬Í´¿à
agree   v.Í¬Òâ£¬Ò»ÖÂÈÏÎª
agreeable   adj.ã«ÒâµÄ£¬Ò×Ïà´¦µÄ
agreeably   adv.ÐÀÈ»£¬ÒÀÕÕ
agreed   adj.ÉÌ¶¨µÄ
agreement   n.Ò»ÖÂ£¬Ð­Òé
agricultural   adj.Å©ÒµµÄ
agriculture   n.Å©Òµ
ahead   adv.ÔÚ...Ç°
aid   n.,v.Ô®Öú£¬¾È»¤
aids   n.(Ëõ)°¬×Ì²¡
ailment   n.¼²²¡
aim   n.Ä¿µÄ v.Ö¼ÔÚ£¬Ö¸Ïò
aimless   adj.ÎÞÄ¿µÄµÄ
air   n.¿ÕÆø£¬ÆøÅÉ
aircraft   n.º½¿ÕÆ÷
airline   n.º½Ïß£¬º½¿Õ¹«Ë¾
airliner   n.¶¨ÆÚº½°à
airmail   n.º½¿ÕÓÊ¼þ
airplane   n.·É»ú
airport   n.»ú³¡
airway   n.º½Ïß
aisle   n.¹ýµÀ£¬×ßÀÈ
ajar   adv.°ë¿ªµÄ
alarm   n.¾ª»Å£¬¾¯±¨
alarming   adj.¾¯¸æµÄ
alas   int.°¦£¬°¥Ñ½
album   n.Ïà²á£¬µØÍ¼²á
alcohol   n.¾Æ¾«
alcoholic   adj.º¬¾Æ¾«µÄ
alcoholism   n.ÊÈ¾ÆÕß£¬¾Æ¹í
ale   n.µ­Æ¡¾Æ
alert   adj.¾¯ÌèµÄ£¬Áé»îµÄ
algebra   n.´úÊý
alien   adj.Òì¹úµÄ£¬ÒìÑùµÄ
alienate   v.ÊèÔ¶£¬×ªÈÃ£¬Å²ÓÃ
alienation   n.Òì»¯
alignment   n.¶Ô×¼£¬×¼Ïß
alike   adj.ÏàÏóµÄ
alive   adj.»î×ÅµÄ£¬ÓÐÉúÃüµÄ
all   adj.ËùÓÐµÄ n.Ò»ÇÐ
allergic   adj.¹ýÃôµÄ£¬±äÌ¬µÄ
allergy   n.·´¸Ð£¬¹ýÃô
alliance   n.ÁªºÏ£¬Í¬ÃË
allied   adj.Í¬ÃËµÄ
allocate   v.·ÖÅä
allocation   n.·ÖÅä
allot   v.·ÖÅä£¬Åä¸ø
allotment   n.·ÖÅä£¬·Ý¶î
allow   v.ÔÊÐí£¬Ðí¿É
allowance   n.²¹Öú£¬½òÌù
alloy   n.ºÏ½ð
ally   n.Í¬ÃËÕß v.½áÃË
almost   adv.¼¸ºõ£¬²î²»¶à
alone   adj.µ¥¶ÀµÄ£¬½ö½ö
along   prep.ÑØ×Å adv.Ò»Æð
alongside   prep.ÔÚ...ÅÔ±ß
aloud   adv.´óÉùµØ
alphabet   n.×ÖÄ¸±í
also   adv.Ò²
alter   v.¸Ä±ä£¬±ä¶¯
alternate   v.ÂÖÁ÷£¬½»Ìæ
alternation   n.¸Ä±ä£¬±ä¸ü
alternative   n.,v.Á½ÕßÈ¡Ò»
although   conj.ËäÈ»
altitude   n.¸ß¶È
altogether   adv.È«²¿µØ£¬×Ü¹²
aluminum   n.ÂÁ
always   adv.×ÜÊÇ£¬Ê¼ÖÕ
a.m.   (Ëõ)ÉÏÎç
amateur   adj.ÒµÓàµÄ
amaze   v.Ê¹¾ªÌ¾
amazement   n.¾ªÆæ£¬²ïÒì
ambassador   n.´óÊ¹
ambient   adj.ÖÜÎ§µÄ£¬°üÎ§×ÅµÄ
ambiguity   n.ÆçÒåÐÔ£¬ÒâÒå²»Ã÷´¦
ambiguous   adj.Ä£ÀâÁ½¿ÉµÄ
ambition   n.±§¸º£¬Ò°ÐÄ
ambitious   adj.ÐÛÐÄ²ª²ªµÄ
ambulance   n.¾È»¤³µ
amend   v.ÐÞ¸Ä£¬¸üÕý
amendment   n.ÐÞ¸Ä(Í¨ÖªÊé)
amends   n.Åâ³¥
america   n.ÃÀ¹ú£¬ÃÀÖÞ
american   adj.ÃÀ¹úµÄ n.ÃÀ¹úÈË
amiable   adj.ºÍ°ªµÄ£¬Ç×ÇÐµÄ
amicable   adj.ÓÑºÃµÄ£¬ºÍÄÀµÄ
amid   prep.ÔÚ...Ö®¼ä
ammunition   n.µ¯Ò©
among   prep.ÔÚ...Ö®ÖÐ
amount   n.ÊýÁ¿£¬×ÜÊý v.ºÏ¼Æ
ampere   n.¡¾µç¡¿°²Åà
ample   adj.¿í´óµÄ£¬³äÔ£µÄ
amplification   n.·Å´ó
amplifier   n.·Å´óÆ÷£¬À©Òô»ú
amplify   v.ÏêÊö£¬·Å´ó
amuse   v.¶ºÀÖ£¬¸øÓéÀÖ
amusement   n.ÓéÀÖ£¬ÀÖÈ¤
analogue   n.Ä£Äâ£¬ÀàËÆÎï
analogy   n.ÀàËÆ£¬ÀàÍÆ
analysis   n.·ÖÎö£¬·Ö½â
analytical   adj.·ÖÎöµÄ£¬½âÎöµÄ
analyze   v.·ÖÎö£¬·Ö½â
ancestor   n.×æÏÈ£¬×æ×Ú
anchor   n.Ãª v.Í£²´
ancient   adj.¹ÅÀÏµÄ£¬¹Å´úµÄ
and   conj.ºÍ£¬Óë£¬¶ø
anecdote   n.éóÊÂ£¬éóÎÅ
angel   n.ÌìÃü£¬°²ç÷¶ù
anger   n.ÉúÆø£¬·ßÅ­
angle   n.½Ç£¬½Ç¶È
angry   adj.ÉúÆøµÄ£¬·ßÅ­µÄ
angular   adj.½Ç×´µÄ
animal   n.¶¯Îï
animate   v.Ê¹ÓÐ»îÁ¦£¬¼¤»î
animation   n.ÉúÆø£¬Éú»ú
ankle   n.õ×£¬õ×¹Ç
annex   n.¸½Â¼£¬¸½¼þ
anniversary   n.ÖÜÄê¼ÍÄîÈÕ
announce   v.Ðû²¼£¬Í¨±¨
announcement   n.Í¨Öª
announcer   n.²¥ÒôÔ±
annoy   v.·³ÈÅ£¬Ê¹ÉúÆø
annoyance   n.·³ÄÕ£¬Âé·³ÊÂ
annual   adj.Ã¿ÄêµÄ£¬Äê¶ÈµÄ
annually   adv.Ã¿Äê£¬ÄêÄê
another   pron.,prep.ÁíÒ»¸ö
answer   n.´ð°¸ v.´ð¸´
ant   n.ÂìÒÏ
antagonism   n.¶ÔÁ¢£¬µÐ¶Ô
antagonist   n.¶ÔÊÖ£¬µÐÊÖ
antarctic   adj.ÄÏ¼«µÄ
antibiotic   adj.¿¹¾úµÄ
antecedent   n.´¥½Ç£¬ÌìÏß
anticipate   v.ÆÚÍû£¬Ô¤ÁÏ
anticipation   n.ÆÚÍû£¬Ô¤ÁÏ
antique   adj.¹ÅÀÏµÄ n.¹ÅÍæ
antonym   n.·´Òå´Ê
antonymous   adj.·´ÒåµÄ
anxiety   n.½¹ÂÇ£¬µ£ÐÄ
anxious   adj.½¹¼±µÄ£¬ÇÐÅÎµÄ
anxiously   adv.½¹¼±µØ£¬¼±ÇÐµØ
any   adj.ÈÎºÎ£¬Ò»Ð©
anybody   pron.ÈÎºÎÈË
anyhow   adv.ÎÞÂÛÈçºÎ
anyone   pron.ÎÞÂÛË­
anything   pron.ÎÞÂÛÊ²Ã´
anyway   adv.²»¹ÜÔõÑù
anywhere   adv.ÎÞÂÛºÎµØ
apart   adv.·ÖÀë£¬¸ô¿ª
apartment   n.Ì×·¿£¬¹«Ô¢
ape   n.Ô³ºï
apologize   v.µÀÇ¸
apology   n.µÀÇ¸
apparatus   n.ÒÇÆ÷£¬Éè±¸
apparent   adj.Ã÷ÏÔµÄ£¬±íÃæÉÏµÄ
apparently   adj.ÏÔÈ»£¬ËÆºõ
appeal   v.,n.ºôÓõ£¬ÉÏËß
appealing   adj.ÓÐÎüÒýÁ¦µÄ
appear   v.³öÏÖ£¬ºÃÏó
appearance   n.³öÏÖ£¬Íâ±í
appendix   n.¸½Â¼£¬Ã¤³¦
appetite   n.Ê³Óû£¬ÓûÍû
applaud   v.³ÆÔÞ£¬ÅÄÊÖºÈ²Ê
applause   n.ºÈ²Ê£¬»¶ºô
apple   n.Æ»¹û
appliance   n.ÓÃ¾ß£¬Æ÷Ðµ
applicable   adj.Éú¶¯µÄ£¬ÊÊÓÃµÄ
applicant   n.ÉêÇëÈË
application   n.ÉêÇë£¬Ó¦ÓÃ
apply   v.Ó¦ÓÃ£¬ÉêÇë
appoint   v.ÈÎÃü£¬Ô¼¶¨
appointment   n.ÈÎÃü£¬Ô¼»á
appreciable   adj.¿É¿´µ½µÄ
appreciably   adv.Ïàµ±´óµØ
appreciate   v.ÐÀÉÍ£¬¸Ð¼¤
appreciation   n.ÐÀÉÍ£¬¸Ð¼¤
appreciative   adj.¸Ð¼¤µÄ
apprentice   n.Ñ§Ð£
apprize   v.Í¨Öª
approach   v.½Ó½ü n.Í¾¾¶
appropriate   adj.Ç¡µ±µÄ v.²¦¸ø
approval   n.Í¬Òâ£¬Åú×¼
approve   v.ÔÞ³É£¬Åú×¼
approximate   adj.,v.½üËÆ£¬Ô¼ÂÔ
approximately   adv.½üºõ£¬´óÔ¼
approximation   n.½üËÆÖµ
april   n.ËÄÔÂ
apt   adj.Ç¡µ±µÄ£¬Ò×ÓÚ..µÄ
aptitude   n.²ÅÖÇ£¬Ìì×Ê
arab   n.°¢À­²®
arabian   n.°¢À­²®ÈË£¬°¢À­²®Óï
arabic   adj.°¢À­²®µÄ
arbitrary   adj.×¨ºáµÄ£¬ÈÎÒâµÄ
arbitrate   v.ÖÙ²Ã
arbitration   n.ÖÙ²Ã
arbitrator   n.ÖÙ²ÃÔ±
arc   n.»¡
arch   n.¹°ÃÅ£¬¹­ÐÎ
archaeologist   n.¿¼¹ÅÑ§¼Ò
archaeology   n.¿¼¹ÅÑ§
architect   n.½¨ÖþÊ¦
architecture   n.½¨ÖþÑ§
arctic   adj.±±¼«µÄ
ardent   adj.ÈÈÐÄµÄ£¬Ç¿ÁÒµÄ
arduous   adj.¼è¾ÞµÄ£¬Å¬Á¦µÄ
area   n.µØÇø£¬Ãæ»ý£¬ÁìÓò
arena   n.¾º¼¼³¡
argue   v.ÕùÂÛ£¬±çÂÛ
argument   n.ÕùÂÛ£¬ÂÛµã
arise   v.ÆðÀ´£¬³öÏÖ
aristocracy   n.¹ó×å½×²ã
aristocrat   n.¹ó×å
aristocratic   adj.¹ó×åµÄ
arithmetic   n.ËãÊõ
arm   n.ÊÖ±Û£¬·öÊÖ v.Îä×°
arms   n.ÎäÆ÷
armchair   n.ÊÖ·öÒÎ
armour   n.¿ø¼×£¬×°¼×
army   n.¾ü¶Ó£¬Â½¾ü
around   adv.ÔÚÖÜÎ§£¬´óÔ¼
arouse   v.»½ÐÑ£¬»½Æð
arrange   v.ÕûÀí£¬°²ÅÅ
arrangement   n.°²ÅÅ£¬¼Æ»®
array   v.×°°ç£¬ÅÅÁÐ
arrear   n.Ç·¿î
arrest   v.´þ²¶£¬ÎüÒý
arrival   n.µ½´ï£¬µ½»õ
arrive   v.µ½´ï£¬´ïµ½
arrogance   n.°ÁÂý
arrogant   adj.°ÁÂýµÄ
arrogantly   adv.°ÁÂýµØ
arrow   n.¼ý£¬¼ýÍ·
art   n.ÒÕÊõ£¬¼¼ÒÕ
article   n.ÎÄÕÂ£¬ÎïÆ·£¬¹Ú´Ê
artificial   adj.ÈËÔìµÄ£¬¼ÙµÄ
artist   n.ÒÕÊõ¼Ò
artistic   n.ÒÕÊõµÄ
as   adv.Ò»Ñù prep.×÷Îª
ascend   v.µÇ£¬ÉÏÉý
ascertain   v.²éÃ÷£¬ÅªÇå
ascribe   v.¹éÓÚ
asean   n.(Ëõ)¶«ÃË
ash   n.»Ò£¬»Ò½ý
ashamed   adj.²ÑÀ¢µÄ£¬Ðß³ÜµÄ
ashore   adv.ÔÚ°¶ÉÏ£¬ÉÏ°¶
ashtray   n.ÑÌ»Ò¸×
asia   n.ÑÇÖÞ
asian   adj.ÑÇÖÞµÄ n.ÑÇÖÞÈË
aside   adv.ÔÚÅÔ±ß£¬¸éÔÚÒ»±ß
ask   v.ÎÊ£¬ÒªÇó£¬ÑûÇë
asleep   adj.Ë¯×ÅµÄ
aspect   n.ÈÝÃ²£¬·½Ãæ
aspirin   n.°¢Ë¹Æ¥ÁÖ
ass   n.Â¿£¬ÓÞ´ÀµÄÈË
assassinate   v.°µÉ±
assassination   n.°µÉ±
assassinator   n.°µÉ±Õß
assault   v.Ï®»÷£¬¹¥»÷
assemble   v.¼¯ºÏ£¬×°Åä
assembly   n.¼¯ºÏ£¬×°Åä
assert   v.¶ÏÑÔ£¬Ðû³Æ
assertion   n.¶ÏÑÔ
assess   v.ÆÀ¶¨£¬¹À¼Û
assessment   n.¹ÀÖµ£¬ÆÀ¼Û
assign   v.·ÖÅä£¬Ö¸¶¨
assignment   n.ÈÎÎñ£¬×÷Òµ
assist   v.Ð­Öú
assistance   n.Ð­Öú£¬¸¨Öú
assistant   n.ÖúÊÖ
associate   v.ÁªÏë adv.¸±µÄ
associated   adj.ÁªºÏµÄ
association   n.Ð­»á£¬ºÏÓª
associative   adj.ÁªÏëµÄ
assorted   adj.¸÷ÖÖ¸÷ÑùµÄ
assortment   n.»¨É«Æ·ÖÖ
assume   v.¼Ù¶¨£¬µ£ÈÎ
assumption   n.¼Ù¶¨£¬¼Ù×°
assurance   n.×ÔÐÅ£¬±£Ö¤
assure   v.Ê¹..·ÅÐÄ£¬Ïò..±£Ö¤
assured   adj.¸Ðµ½·ÅÐÄµÄ
astonish   v.Ê¹¾ªÑÈ
astonishment   n.¾ªÑÈ
astound   v.Ê¹¾ªÑÈ
astray   adv.(ÐÅ¼þ)ÒÅÊ§¡¢Îó´«
astronaut   n.ÓîÖæ·ÉÐÐÔ±
astronomer   n.ÌìÎÄÑ§¼Ò
astronomical   adj.ÌìÎÄÑ§µÄ
astronomy   n.ÌìÎÄÑ§
at   prep.ÔÚ£¬´¦ÓÚ£¬ÒÔ
athlete   n.Ìï¾¶ÔË¶¯Ô±
athletic   adj.Ìï¾¶µÄ
atlantic   n.,adj.´óÎ÷Ñó(µÄ)
atlas   n.µØÍ¼¼¯
atmosphere   n.´óÆø£¬Æø·Õ
atmospheric   adj.´óÆøµÄ£¬¿ÕÆøµÄ
atom   n.Ô­×Ó£¬Î¢Á£
atomic   adj.Ô­×ÓµÄ£¬Ô­×ÓÄÜµÄ
attach   v.¸½×ÅÓÚ£¬ÒÀÁµ
attachment   n.ÒÀ¸½£¬¸½¼þ£¬°®Ä½
attack   v.,n.½ø¹¥£¬ÇÖÏ®
attain   v.Ó®µÃ£¬µ½´ï
attempt   v.,n.³¢ÊÔ£¬ÆóÍ¼
attend   v.³öÏ¯£¬ÕÕ¹Ë
attendance   n.³öÇÚ(ÂÊ)£¬³öÏ¯
attendant   n.Ëæ´Ó£¬·þÎñÔ±
attention   n.×¢Òâ£¬¹ØÐÄ
attentive   adj.×¢ÒâµÄ£¬¹ØÐÄµÄ
attentively   adv.¹ØÐÄµØ
attic   n.¸óÂ¥
attitude   n.Ì¬¶È£¬¿´·¨
attorney   n.±ç»¤ÂÉÊ¦
attract   v.ÎüÒý£¬ÒýÁ¦
attraction   adj.ÓÐÎüÒýÁ¦µÄ
attributable   adj.¹éÓÚ...µÄ
attribute   v.ÊôÓÚ n.ÊôÐÔ
attribution   n.ÊôÓÚ
attributive   adj.¶¨ÓïµÄ£¬ÊôÐÔµÄ
auction   n.ÅÄÂô
audience   n.ÌýÖÚ£¬¹ÛÖÚ
auditorium   n.ÀñÌÃ
august   n.°ËÔÂ
aunt   n.²®(Éô¡¢ÒÌ¡¢¹Ã)Ä¸
aural   adj.Ìý¾õµÄ£¬¶úµÄ
auspice   n.ÔÞÖú£¬Ö÷°ì
australia   n.°Ä´óÀûÑÇ
australian   adj.°Ä´óÀûÑÇµÄ
author   n.×÷Õß£¬´´ÔìÕß
authority   n.È¨Á¦£¬È¨Íþ
authorization   n.ÊÚÈ¨
authorize   v.ÊÚÈ¨£¬Åú×¼
autobiography   n.×Ô´«
automate   v.×Ô¶¯»¯
automatic   adj.×Ô¶¯µÄ
automation   n.×Ô¶¯»¯
automobile   n.Æû³µ
autonomous   adj.×ÔÖÎµÄ
autonomy   n.×ÔÖÎ
autumn   n.ÇïÌì
auxiliary   adj.¸¨ÖúµÄ£¬²¹ÖúµÄ
avail   v.°ïÖú£¬ÓÐÓÃ n.Ð§ÓÃ
availability   n.¿ÉÓÃÐÔ£¬¿É¹©»õ
available   adj.¿ÉµÃµ½µÄ
avenge   v.±¨¸´
avenue   n.ÁÖÒñµÀ£¬Í¾¾¶
average   adj.Æ½¾ùµÄ n.Æ½¾ùÊý
averagely   adv.Æ½¾ù
aviation   n.º½¿Õ
avoid   v.±ÜÃâ£¬ÌÓ±Ü
await   v.µÈºò£¬µÈ´ý
awake   v.ÐÑÀ´,ÐÑÎò adj.ÐÑµÄ
awaken   adj.ÐÑ×ÅµÄ
award   v.ÊÚÓè n.½±£¬½±Æ·
aware   adj.ÖªµÀµÄ£¬ÒâÊ¶µ½µÄ
away   adv.È¥£¬Ô¶Àë£¬ÔÚÔ¶´¦
awe   n.Íþ¾å
awesome   adj.¿ÉÅÂµÄ
awful   adj.ÁîÈËÎ·¾åµÄ
awfully   adv.¿ÉÅÂµØ£¬·Ç³£
awkward   adj.±¿×¾µÄ£¬²»ÊìÁ·µÄ
awkwardly   adv.±¿×¾µØ
awkwardness   n.±¿×¾
ax   n.¸«×Ó
axial   adj.ÖáµÄ£¬ÖáÏòµÄ
axis   n.Öá£¬ÖáÏß£¬ÖáÐÄ
axle   n.(ÂÖ)Öá
baby   n.Ó¤¶ù£¬ÄêÁä×îÐ¡µÄÈË
baby-sit   v.(ÌæÈË)¿´»¤Ð¡º¢
baby-sitter   n.¿´»¤Ð¡º¢µÄÈË
bachelor   n.µ¥Éíºº£¬Ñ§Ê¿
back   n.±³ adj.±³ºóµÄ
backbone   n.¼¹Áº¹Ç
backdate   v.»ØËÝ
background   n.±³¾°£¬¾­Àú
backing   n.µ¹ÍË£¬Ö§³ÖÎï
backlog   n.Î´½»¸¶µÄ¶©»õ
backward   adv.Ïòºó£¬Äæ
backwardness   n.Âäºó(×´Ì¬)
